Date,Close,High,Low,Open,Volume,Returns,MA7,MA30,RSI,MACD,Signal_Line,BB_Middle,BB_Upper,BB_Lower,Volatility
2023-07-01,30590.078125,30641.2890625,30328.865234375,30471.84765625,9086606733,0.0037019798257575953,30434.069196428572,27888.868619791665,80.39398527226405,1028.2090434296588,857.5079977469693,28554.8697265625,32887.54943581311,24222.190017311896,0.022105831684017748
2023-07-02,30620.76953125,30766.140625,30264.01953125,30587.26953125,10533418042,0.0010033124506771962,30454.141741071428,28001.241276041666,82.62137698131221,1015.7139626071621,889.149190719008,28790.783203125,33028.1436629835,24553.4227432665,0.02205437440043066
2023-07-03,31156.439453125,31375.61328125,30586.513671875,30624.515625,15271884873,0.01749367929268808,30580.614397321428,28137.2849609375,82.67638729783766,1037.0807852165199,918.7355096185104,29052.66875,33188.85725708313,24916.48024291687,0.022054764209966413
2023-07-04,30777.58203125,31325.197265625,30659.35546875,31156.865234375,12810828427,-0.012159843310882601,30593.38839285714,28259.235481770833,72.31272189138616,1011.7803443738085,937.34447656957,29335.3140625,33096.940043538685,25573.688081461314,0.020627054393319164
2023-07-05,30514.166015625,30877.330078125,30225.61328125,30778.724609375,12481622280,-0.0085586975402272,30654.51981026786,28417.704427083332,56.00486021814132,959.4145579158576,941.7584928388276,29582.20263671875,32930.50398529595,26233.901288141547,0.020964371139568234
2023-07-06,29909.337890625,31460.052734375,29892.2265625,30507.150390625,21129219509,-0.019821224171432172,30577.946428571428,28506.722916666666,49.96761105410867,859.2053356719844,925.247861405459,29761.29638671875,32739.286678950048,26783.306094487452,0.021339754063283308
2023-07-07,30342.265625,30434.64453125,29777.28515625,29907.998046875,13384770155,0.014474667943441766,30558.662667410714,28639.9318359375,45.78869514754471,805.4378687282406,901.2858628700154,29952.87587890625,32514.206177036005,27391.545580776492,0.021412279664840522
2023-07-08,30292.541015625,30374.4375,30080.16015625,30346.921875,7509378699,-0.0016387902600796256,30516.157366071428,28766.0759765625,46.873469823671236,750.1669458024808,871.0620794565085,30150.69228515625,32065.424965644896,28235.9596046676,0.02127556079145061
2023-07-09,30171.234375,30427.58984375,30085.591796875,30291.611328125,7903327692,-0.004004505286051452,30451.938058035714,28889.104622395833,46.27618312418214,688.6377220836948,834.5772079819458,30316.7025390625,31438.347377531532,29195.057700593465,0.02120974225520017
2023-07-10,30414.470703125,31026.083984375,29985.39453125,30172.423828125,14828209155,0.008061862007427312,30345.942522321428,29041.2123046875,51.71318096550668,651.9868097660255,798.0591283387618,30421.05166015625,31038.46978195804,29803.633538354457,0.01783961949541732
2023-07-11,30620.951171875,30788.314453125,30358.09765625,30417.6328125,12151839152,0.006788889103658935,30323.56668526786,29197.238411458333,49.1541055365984,632.3130348331979,764.909909637649,30450.734375,31045.09738902709,29856.37136097291,0.012020443985524244
2023-07-12,30391.646484375,30959.96484375,30228.8359375,30622.24609375,14805659717,-0.007488490028050299,30306.063895089286,29346.876627604168,54.24134763996461,591.4011502296089,730.208157756041,30474.70263671875,31013.725177738655,29935.680095698845,0.012125947420834997
2023-07-13,31476.048828125,31814.515625,30268.3515625,30387.48828125,23686079548,0.03568093437476372,30529.879743303572,29532.120638020835,61.913998915425296,639.1130954093642,711.9891452867057,30513.731640625,31210.125574674294,29817.337706575705,0.013298954446316938
2023-07-14,30334.068359375,31582.25390625,29966.38671875,31474.720703125,20917902660,-0.036280934592069825,30528.70870535714,29705.767057291665,48.6829217111849,578.1127518703179,685.2138666034282,30503.00029296875,31203.726927689902,29802.2736582476,0.01570890252093844
2023-07-15,30295.806640625,30407.78125,30263.462890625,30331.783203125,8011667756,-0.001261344778969442,30529.175223214286,29863.080794270834,47.255487222196116,520.6800635349391,652.3071059897304,30493.7775390625,31200.593321197677,29786.96175692732,0.015703851074869653
2023-07-16,30249.1328125,30437.560546875,30089.669921875,30297.47265625,8516564470,-0.001540603578530031,30540.303571428572,29993.803125,46.54424531248865,466.0259987660793,615.0508845450003,30492.67763671875,31201.019052237927,29784.33622119957,0.01562971365162198
2023-07-17,30145.888671875,30336.400390625,29685.783203125,30249.626953125,13240156074,-0.0034131272874816654,30501.934709821428,30114.976888020832,39.781360673519096,409.6590251364505,573.9725126632903,30465.5638671875,31183.843306721552,29747.284427653445,0.015306168203958324
2023-07-18,29856.5625,30233.65625,29556.427734375,30147.0703125,13138897269,-0.009597533349379406,30392.736328125,30232.321875,40.514953226664225,337.7482369279169,526.7276575162157,30454.0796875,31204.519332999287,29703.640042000716,0.014813404219850227
2023-07-19,29913.923828125,30184.181640625,29794.26953125,29862.046875,12128602812,0.0019212301525000086,30324.490234375,30334.418359375,43.544475990182825,282.1347254818829,477.80907110934913,30427.50830078125,31215.921736634235,29639.094864928265,0.014545625498645782
2023-07-20,29792.015625,30195.53125,29638.095703125,29915.25,14655207121,-0.0040752996439197275,30083.9140625,30383.2359375,48.59195438671995,225.62280457850284,427.3718178031799,30393.246484375,31230.595542127237,29555.89742662276,0.01455685733785844
2023-07-21,29908.744140625,30045.998046875,29733.8515625,29805.111328125,10972789818,0.0039181140710413676,30023.153459821428,30379.2841796875,44.36976230855903,188.0875594809404,379.514966138732,30359.17978515625,31217.975501064724,29500.38406924778,0.014560639336874487
2023-07-22,29771.802734375,29991.615234375,29664.12109375,29908.697265625,7873300598,-0.004578641136054662,29948.295758928572,30374.6015625,43.386873060346545,145.61205516540213,332.73438394406605,30316.7314453125,31204.521517856483,29428.941372768517,0.014573208701121264
2023-07-23,30084.5390625,30330.640625,29741.52734375,29790.111328125,9220145050,0.010504447141318263,29924.782366071428,30354.237239583334,48.950060458805694,135.6217568180109,293.31185851885505,30263.13642578125,31062.500449726063,29463.772401836435,0.014177139257300622
2023-07-24,29176.916015625,30093.39453125,28934.294921875,30081.662109375,15395817395,-0.03016908602087709,29786.35770089286,30308.511263020835,37.089904572204915,53.84607480859995,245.41870177680403,30183.103125,31080.148851343394,29286.05739865661,0.015398863640263506
2023-07-25,29227.390625,29353.16015625,29062.43359375,29178.970703125,10266772793,0.0017299501204297574,29696.476004464286,30266.748893229167,34.97336073428254,-6.810357639616996,194.97288989351983,30118.76435546875,31096.761946336337,29140.76676460116,0.015359509532247066
2023-07-26,29354.97265625,29675.552734375,29113.912109375,29225.759765625,13497554655,0.004365152978824893,29616.625837053572,30236.210286458332,38.57091486168442,-44.07810868719753,147.16269017737636,30091.04609375,31123.91933626513,29058.172851234867,0.014828769524439081
2023-07-27,29210.689453125,29560.966796875,29099.3515625,29353.798828125,10770779217,-0.004915119656712763,29533.579241071428,30186.9611328125,18.494010987100594,-84.28394569812372,100.87336300227635,30034.46728515625,31131.383750038454,28937.550820274046,0.014403228491673
2023-07-28,29319.24609375,29521.513671875,29125.845703125,29212.1640625,11218474952,0.0037163327075591113,29449.365234375,30161.394466145834,30.192415166008303,-106.16395554915653,59.46589929198978,29985.8025390625,31120.229950759658,28851.375127365343,0.0144560551783796
2023-07-29,29356.91796875,29396.84375,29264.166015625,29319.4453125,6481775959,0.001284885528077373,29390.09598214286,30125.113346354166,31.67028778553012,-119.09140394470523,23.754438644650776,29945.08671875,31109.547438791746,28780.625998708256,0.014456822457727
2023-07-30,29275.30859375,29443.169921875,29059.501953125,29357.09375,8678454527,-0.002779902682116475,29274.491629464286,30085.048567708334,31.244094085358142,-134.37272928087987,-7.870994940455352,29888.12861328125,31067.267330788283,28708.989895774215,0.01429090532206312
2023-07-31,29230.111328125,29489.873046875,29131.578125,29278.314453125,11656781982,-0.0015438698273756435,29282.090959821428,30039.716341145835,31.958681171197796,-148.4194443459055,-35.98068482154539,29818.58662109375,30979.664579260847,28657.50866292665,0.014147783761835711
